,carat,cut,color,clarity,depth,table,volume,price_bin,price
69,0.24,Premium,E,VVS1,60.7,58.0,39.431132,0.0,553.0
70,0.24,Very Good,D,VVS1,61.5,60.0,38.906000000000006,0.0,553.0
71,0.3,Very Good,H,SI1,63.1,56.0,49.45941,0.0,554.0
72,0.3,Premium,H,SI1,62.9,59.0,48.634496000000006,0.0,554.0
73,0.3,Premium,H,SI1,62.5,57.0,48.680775000000004,0.0,554.0
74,0.3,Good,H,SI1,63.7,57.0,49.593216000000005,0.0,554.0
75,0.26,Very Good,F,VVS2,59.2,60.0,44.027682,0.0,554.0
76,0.26,Very Good,E,VVS2,59.9,58.0,44.06179500000001,0.0,554.0
77,0.26,Very Good,D,VVS2,62.4,54.0,43.137024000000004,0.0,554.0
78,0.26,Very Good,D,VVS2,62.8,60.0,41.08846499999999,0.0,554.0
79,0.26,Very Good,E,VVS1,62.6,59.0,42.34377,0.0,554.0
80,0.26,Very Good,E,VVS1,63.4,59.0,41.208,0.0,554.0
81,0.26,Very Good,D,VVS1,62.1,60.0,42.007107999999995,0.0,554.0
82,0.26,Ideal,E,VVS2,62.9,58.0,41.455847999999996,0.0,554.0
83,0.38,Ideal,I,SI2,61.6,56.0,62.32348500000001,0.0,554.0
84,0.26,Good,E,VVS1,57.9,60.0,43.94075,0.0,554.0
85,0.24,Premium,G,VVS1,62.3,59.0,37.9358,0.0,554.0
86,0.24,Premium,H,VVS1,61.2,58.0,38.746224,0.0,554.0
87,0.24,Premium,H,VVS1,60.8,59.0,39.23519999999999,0.0,554.0
88,0.24,Premium,H,VVS2,60.7,58.0,40.449288,0.0,554.0
89,0.32,Premium,I,SI1,62.9,58.0,51.420915,0.0,554.0
90,0.7,Ideal,E,SI1,62.5,57.0,116.39627999999999,0.0,2757.0
91,0.7,Ideal,G,VS2,61.6,56.0,113.1165,0.0,2757.0
92,0.71,Very Good,E,VS2,62.4,57.0,115.865184,0.0,2759.0
93,0.78,Very Good,G,SI2,63.8,56.0,126.43721999999998,0.0,2759.0
94,0.7,Good,E,VS2,57.5,58.0,116.66069999999999,0.0,2759.0
95,0.7,Good,F,VS1,59.4,62.0,111.82464,0.0,2759.0
96,0.96,Fair,F,SI2,66.3,62.0,151.837455,0.0,2759.0
97,0.73,Very Good,E,SI1,61.6,59.0,118.728136,0.0,2760.0
98,0.8,Premium,H,SI1,61.5,58.0,129.571686,0.0,2760.0
99,0.75,Very Good,D,SI1,63.2,56.0,121.7275,0.0,2760.0
100,0.75,Premium,E,SI1,59.9,54.0,128.0208,0.0,2760.0
101,0.74,Ideal,G,SI1,61.6,55.0,121.80869999999999,0.0,2760.0
102,0.75,Premium,G,VS2,61.7,58.0,121.59868499999999,0.0,2760.0
103,0.8,Ideal,I,VS1,62.9,56.0,129.70821600000002,0.0,2760.0
104,0.75,Ideal,G,SI1,62.2,55.0,123.58698,0.0,2760.0
105,0.8,Premium,G,SI1,63.0,59.0,126.48950999999998,0.0,2760.0
106,0.74,Ideal,I,VVS2,62.3,55.0,121.02055699999998,0.0,2761.0
107,0.81,Ideal,F,SI2,58.8,57.0,135.05544,0.0,2761.0
108,0.59,Ideal,E,VVS2,62.0,55.0,97.86488999999999,0.0,2761.0
109,0.8,Ideal,F,SI2,61.4,57.0,131.23919999999998,0.0,2761.0
110,0.74,Ideal,E,SI2,62.2,56.0,122.61664,0.0,2761.0
111,0.9,Premium,I,VS2,63.0,58.0,145.89590400000003,0.0,2761.0
112,0.74,Very Good,G,SI1,62.2,59.0,119.72147400000001,0.0,2762.0
113,0.73,Ideal,F,VS2,62.6,56.0,119.23128,0.0,2762.0
114,0.73,Ideal,F,VS2,62.7,53.0,120.727,0.0,2762.0
115,0.8,Premium,F,SI2,61.7,58.0,130.71801600000003,0.0,2762.0
116,0.71,Ideal,G,VS2,62.4,54.0,117.95097599999998,0.0,2762.0
117,0.7,Ideal,E,VS2,60.7,58.0,115.18675200000001,0.0,2762.0
118,0.8,Ideal,F,SI2,59.9,59.0,132.060134,0.0,2762.0
119,0.71,Ideal,D,SI2,62.3,56.0,116.06917200000001,0.0,2762.0
120,0.74,Ideal,E,SI1,62.3,54.0,122.40668000000001,0.0,2762.0
121,0.7,Very Good,F,VS2,61.7,63.0,109.79218800000001,0.0,2762.0
122,0.7,Fair,F,VS2,64.5,57.0,110.27151800000001,0.0,2762.0
123,0.7,Fair,F,VS2,65.3,55.0,114.980364,0.0,2762.0
124,0.7,Premium,F,VS2,61.6,60.0,109.27891,0.0,2762.0
125,0.91,Premium,H,SI1,61.4,56.0,134.52201,0.0,2763.0
126,0.61,Very Good,D,VVS2,59.6,57.0,103.00233599999999,0.0,2763.0
127,0.91,Fair,H,SI2,64.4,57.0,146.234907,0.0,2763.0
128,0.91,Fair,H,SI2,65.7,60.0,142.672815,0.0,2763.0
129,0.77,Ideal,H,VS2,62.0,56.0,125.636056,0.0,2763.0
130,0.71,Very Good,D,SI1,63.6,58.0,115.32672,0.0,2764.0
131,0.71,Ideal,D,SI1,61.9,59.0,114.89020399999998,0.0,2764.0
132,0.7,Very Good,E,VS2,62.6,60.0,112.08809000000001,0.0,2765.0
133,0.77,Very Good,H,VS1,61.3,60.0,125.23812,0.0,2765.0
134,0.63,Premium,E,VVS1,60.9,60.0,103.24331999999998,0.0,2765.0
135,0.71,Very Good,F,VS1,60.1,62.0,114.59450799999999,0.0,2765.0
136,0.71,Premium,F,VS1,61.8,59.0,115.09106100000001,0.0,2765.0
137,0.76,Ideal,H,SI1,61.2,57.0,125.45038799999999,0.0,2765.0
138,0.64,Ideal,G,VVS1,61.9,56.0,105.46152400000001,0.0,2766.0
139,0.71,Premium,G,VS2,60.9,57.0,116.65485,0.0,2766.0
140,0.71,Premium,G,VS2,59.8,56.0,119.77314999999997,0.0,2766.0
141,0.7,Very Good,D,VS2,61.8,55.0,114.36339199999999,0.0,2767.0
142,0.7,Very Good,F,VS1,60.0,57.0,119.161,0.0,2767.0
143,0.71,Ideal,D,SI2,61.6,55.0,117.04089599999999,0.0,2767.0
144,0.7,Good,H,VVS2,62.1,64.0,111.13550000000001,0.0,2767.0
145,0.71,Very Good,G,VS1,63.3,59.0,109.004544,0.0,2768.0
146,0.73,Very Good,D,SI1,60.2,56.0,120.46179199999999,0.0,2768.0
147,0.7,Very Good,D,SI1,61.1,58.0,112.86266400000001,0.0,2768.0
148,0.7,Ideal,E,SI1,60.9,57.0,115.51680000000002,0.0,2768.0
149,0.71,Premium,D,SI2,61.7,59.0,113.638707,0.0,2768.0
150,0.74,Ideal,I,SI1,61.3,56.0,121.755564,0.0,2769.0
151,0.71,Premium,D,VS2,62.5,60.0,111.57168000000001,0.0,2770.0
152,0.73,Premium,G,VS2,61.4,59.0,119.547648,0.0,2770.0
153,0.76,Very Good,F,SI1,62.9,57.0,122.78563499999998,0.0,2770.0
154,0.76,Ideal,D,SI2,62.4,57.0,121.98458800000002,0.0,2770.0
155,0.71,Ideal,F,SI1,60.7,56.0,117.46565999999997,0.0,2770.0
156,0.73,Premium,G,VS2,60.7,58.0,121.28007000000001,0.0,2770.0
157,0.73,Premium,G,VS1,61.5,58.0,118.18837499999998,0.0,2770.0
158,0.73,Ideal,D,SI2,59.9,57.0,123.435552,0.0,2770.0
159,0.73,Premium,G,VS2,59.2,59.0,121.278896,0.0,2770.0
160,0.72,Very Good,H,VVS2,60.3,56.0,118.89177299999997,0.0,2771.0
161,0.73,Very Good,F,SI1,61.7,60.0,120.638124,0.0,2771.0
162,0.71,Ideal,G,VS2,61.9,57.0,117.701076,0.0,2771.0
163,0.79,Ideal,F,SI2,61.9,55.0,130.060032,0.0,2771.0
164,0.73,Very Good,H,VVS1,60.4,59.0,121.55899799999999,0.0,2772.0
165,0.8,Very Good,F,SI2,61.0,57.0,133.00190099999998,0.0,2772.0
166,0.58,Ideal,G,VVS1,61.5,55.0,97.640928,0.0,2772.0
167,0.58,Ideal,F,VVS1,61.7,56.0,94.45293,0.0,2772.0
168,0.71,Good,E,VS2,59.2,61.0,117.99983999999999,0.0,2772.0
169,0.75,Ideal,D,SI2,61.3,56.0,124.04339999999999,0.0,2773.0
170,0.7,Premium,D,VS2,58.0,62.0,114.678668,0.0,2773.0
171,1.17,Very Good,J,I1,60.2,61.0,194.63451,0.0,2774.0
172,0.6,Ideal,E,VS1,61.7,55.0,98.59184,0.0,2774.0
173,0.7,Ideal,E,SI1,62.7,55.0,116.71945600000001,0.0,2774.0
174,0.83,Good,I,VS2,64.6,54.0,130.36842,0.0,2774.0
175,0.74,Very Good,F,VS2,61.3,61.0,120.92304,0.0,2775.0
176,0.72,Very Good,G,VS2,63.7,56.4,115.439858,0.0,2776.0
177,0.71,Premium,E,VS2,62.7,58.0,116.71945600000001,0.0,2776.0
178,0.71,Ideal,E,VS2,62.2,57.0,115.51629,0.0,2776.0
179,0.54,Ideal,E,VVS2,61.6,56.0,89.64269999999999,0.0,2776.0
180,0.54,Ideal,E,VVS2,61.5,57.0,89.026552,0.0,2776.0
181,0.72,Ideal,G,SI1,61.8,56.0,116.7595,0.0,2776.0
182,0.72,Ideal,G,SI1,60.7,56.0,118.953234,0.0,2776.0
183,0.72,Good,G,VS2,59.7,60.5,117.53584000000001,0.0,2776.0
184,0.71,Ideal,G,SI1,60.5,56.0,116.928,0.0,2776.0
185,0.7,Very Good,D,VS1,62.7,58.0,115.781526,0.0,2777.0
186,0.71,Premium,F,VS2,62.1,58.0,114.08607,0.0,2777.0
187,0.71,Very Good,F,VS2,62.8,57.0,114.246096,0.0,2777.0
188,0.71,Good,F,VS2,63.8,58.0,113.589036,0.0,2777.0
189,0.71,Good,F,VS2,57.8,60.0,117.7522,0.0,2777.0
190,0.7,Ideal,E,VS2,62.1,55.0,114.08607,0.0,2777.0
191,0.7,Premium,E,VS2,61.1,60.0,111.749268,0.0,2777.0
192,0.7,Premium,E,SI1,60.0,59.0,115.19205,0.0,2777.0
193,0.7,Premium,E,SI1,61.2,57.0,113.58693600000001,0.0,2777.0
194,0.7,Premium,E,SI1,62.7,59.0,113.004234,0.0,2777.0
195,0.7,Premium,E,SI1,61.0,57.0,113.261472,0.0,2777.0
196,0.7,Premium,E,SI1,61.0,58.0,116.04621599999999,0.0,2777.0
197,0.7,Ideal,E,SI1,61.4,57.0,115.56864,0.0,2777.0
198,0.72,Premium,F,SI1,61.8,61.0,118.306632,0.0,2777.0
199,0.7,Very Good,E,SI1,59.9,63.0,112.61376000000001,0.0,2777.0
200,0.7,Premium,E,SI1,61.3,58.0,113.19047200000001,0.0,2777.0
201,0.7,Premium,E,SI1,60.5,58.0,115.25690399999999,0.0,2777.0
202,0.7,Good,E,VS2,64.1,59.0,113.49935999999998,0.0,2777.0
203,0.78,Premium,F,SI1,62.4,58.0,122.74481999999999,0.0,2777.0
204,0.7,Very Good,E,SI1,63.2,60.0,108.30455999999998,0.0,2777.0
205,0.52,Ideal,F,VVS1,61.3,55.0,86.422842,0.0,2778.0
206,0.73,Very Good,H,VS2,60.8,56.0,120.66023999999999,0.0,2779.0
207,0.74,Ideal,E,SI1,61.7,56.0,121.60047999999999,0.0,2779.0
208,0.7,Very Good,F,VS2,63.6,57.0,113.47347000000002,0.0,2780.0
209,0.77,Premium,G,VS2,61.2,58.0,126.65294000000002,0.0,2780.0
210,0.71,Ideal,F,VS2,62.1,54.0,115.01318399999998,0.0,2780.0
211,0.74,Ideal,G,VS1,61.5,55.0,122.22729399999999,0.0,2780.0
212,0.7,Ideal,G,VS1,61.4,59.0,112.787028,0.0,2780.0
213,1.01,Premium,F,I1,61.8,60.0,160.123176,0.0,2781.0
214,0.77,Ideal,H,SI1,62.2,56.0,124.78065600000001,0.0,2781.0
215,0.78,Ideal,H,SI1,61.2,56.0,129.077312,0.0,2781.0
216,0.72,Very Good,H,VS1,60.6,63.0,117.86860799999998,0.0,2782.0
217,0.53,Very Good,D,VVS2,57.5,64.0,88.32146399999999,0.0,2782.0
218,0.76,Ideal,G,VS2,61.3,56.0,127.21698000000002,0.0,2782.0
219,0.7,Good,E,VS1,57.2,62.0,110.963447,0.0,2782.0
220,0.7,Premium,E,VS1,62.9,60.0,109.283148,0.0,2782.0
221,0.75,Very Good,D,SI2,63.1,58.0,120.22342200000001,0.0,2782.0
222,0.72,Ideal,D,SI1,60.8,57.0,115.91999999999999,0.0,2782.0
223,0.72,Premium,D,SI1,62.7,59.0,116.72124600000001,0.0,2782.0
224,0.7,Premium,D,SI1,62.8,60.0,114.44972800000001,0.0,2782.0
225,0.75,Premium,F,SI1,61.4,59.0,123.83279999999999,0.0,2782.0
226,0.52,Ideal,F,IF,62.2,55.0,85.46689199999999,0.0,2783.0
227,0.72,Very Good,F,VS2,63.0,54.0,117.37332000000002,0.0,2784.0
228,0.79,Very Good,H,VS1,63.7,56.0,129.87,0.0,2784.0
229,0.72,Very Good,F,VS2,63.6,58.0,116.26149400000001,0.0,2787.0
230,0.51,Ideal,F,VVS1,62.0,57.0,83.68647000000001,0.0,2787.0
231,0.64,Ideal,D,VS1,61.5,56.0,104.84727000000001,0.0,2787.0
232,0.7,Very Good,H,VVS1,60.5,60.0,115.25690399999999,0.0,2788.0
233,0.83,Very Good,I,VS1,61.1,60.0,137.74044,0.0,2788.0
234,0.76,Ideal,I,VVS2,61.8,56.0,124.30899000000001,0.0,2788.0
235,0.71,Good,D,VS2,63.3,56.0,114.686016,0.0,2788.0
236,0.77,Good,G,VS1,59.4,64.0,124.75867199999999,0.0,2788.0
237,0.71,Ideal,F,SI1,62.5,55.0,114.52832500000001,0.0,2788.0
238,1.01,Fair,E,I1,64.5,58.0,157.415427,0.0,2788.0
239,1.01,Premium,H,SI2,62.7,59.0,154.245426,0.0,2788.0
240,0.77,Good,F,SI1,64.2,52.0,124.708164,0.0,2789.0
241,0.76,Good,E,SI1,63.7,54.0,124.6752,0.0,2789.0
242,0.76,Premium,E,SI1,60.4,58.0,125.889984,0.0,2789.0
243,0.76,Premium,E,SI1,61.8,58.0,123.11977200000001,0.0,2789.0
244,1.05,Very Good,J,SI2,63.2,56.0,171.209445,0.0,2789.0
245,0.81,Ideal,G,SI2,61.6,56.0,132.396093,0.0,2789.0
246,0.7,Ideal,E,SI1,61.6,56.0,116.1017,0.0,2789.0
247,0.55,Ideal,G,IF,60.9,57.0,90.10848000000001,0.0,2789.0
248,0.81,Good,G,SI2,61.0,61.0,129.51338400000003,0.0,2789.0
249,0.63,Premium,E,VVS2,62.1,57.0,100.20618400000001,0.0,2789.0
250,0.63,Premium,E,VVS1,60.9,60.0,103.24331999999998,0.0,2789.0
251,0.77,Premium,H,VS1,61.3,60.0,125.23812,0.0,2789.0
252,1.05,Fair,J,SI2,65.8,59.0,167.99712599999998,0.0,2789.0
253,0.64,Ideal,G,IF,61.3,56.0,105.414012,0.0,2790.0
254,0.76,Premium,I,VVS1,58.8,59.0,125.09639999999999,0.0,2790.0
255,0.83,Ideal,F,SI2,62.3,55.0,136.94296,0.0,2790.0
256,0.71,Premium,F,VS1,60.1,62.0,114.59450799999999,0.0,2790.0
257,0.71,Premium,F,VS1,61.8,59.0,115.09106100000001,0.0,2790.0
258,0.87,Very Good,I,SI1,63.6,55.8,143.29449,0.0,2791.0
259,0.73,Ideal,E,SI1,62.2,56.0,118.774376,0.0,2791.0
260,0.71,Premium,E,SI1,59.2,59.0,118.206748,0.0,2792.0
261,0.71,Premium,E,SI1,61.8,59.0,116.0235,0.0,2792.0
262,0.71,Ideal,E,SI1,61.3,55.0,116.17548799999999,0.0,2792.0
263,0.7,Premium,F,VS1,62.1,60.0,113.88309500000001,0.0,2792.0
264,0.7,Premium,F,VS1,60.7,60.0,116.32249999999999,0.0,2792.0
265,0.76,Premium,H,VVS2,59.6,57.0,121.560426,0.0,2792.0
266,0.7,Ideal,F,VS1,62.2,56.0,115.53971999999999,0.0,2792.0
267,0.79,Very Good,G,SI1,60.6,57.0,132.27161999999998,0.0,2793.0
268,0.7,Very Good,E,VS2,62.9,57.0,114.97327800000001,0.0,2793.0
269,0.7,Good,E,VS2,64.1,55.0,114.42255999999999,0.0,2793.0
270,0.76,Ideal,I,VS2,61.3,56.0,125.23703700000002,0.0,2793.0
271,0.73,Ideal,H,VS2,62.7,55.0,118.60991999999999,0.0,2793.0
272,0.79,Very Good,E,SI1,63.2,56.0,128.83327200000002,0.0,2794.0
273,0.71,Very Good,E,VS2,60.7,56.0,119.364126,0.0,2795.0
274,0.81,Premium,I,VVS2,61.9,60.0,126.06266400000001,0.0,2795.0
275,0.81,Ideal,F,SI2,62.6,55.0,131.25350400000002,0.0,2795.0
276,0.72,Good,F,VS1,60.7,60.0,114.258144,0.0,2795.0
277,0.72,Premium,D,SI2,62.0,60.0,115.41709800000001,0.0,2795.0
278,0.72,Premium,I,IF,63.0,57.0,117.3744,0.0,2795.0
279,0.81,Premium,H,VS2,58.0,59.0,135.02489699999998,0.0,2795.0
280,0.72,Premium,G,VS2,62.9,57.0,115.90071000000002,0.0,2795.0
281,1.0,Premium,I,SI2,58.2,60.0,165.82176500000003,0.0,2795.0
282,0.73,Good,E,SI1,63.2,58.0,118.85184000000001,0.0,2796.0
283,0.81,Very Good,H,SI2,61.3,59.0,130.659804,0.0,2797.0
284,0.81,Very Good,E,SI1,60.3,60.0,135.88909,0.0,2797.0
285,0.71,Premium,D,SI1,62.7,60.0,115.581249,0.0,2797.0
286,0.71,Premium,D,SI1,61.3,58.0,115.97520000000002,0.0,2797.0
287,0.71,Premium,D,SI1,61.6,60.0,114.96531200000001,0.0,2797.0
288,0.57,Ideal,F,VVS2,61.9,55.0,94.56339,0.0,2797.0
289,0.51,Ideal,D,VVS1,61.7,56.0,83.748864,0.0,2797.0
290,0.72,Ideal,G,VS2,61.9,58.0,116.7595,0.0,2797.0
291,0.74,Ideal,H,VS1,61.8,58.0,120.01484599999999,0.0,2797.0
292,0.74,Ideal,H,VS1,61.6,56.0,121.054836,0.0,2797.0
293,0.8,Premium,F,SI2,61.0,57.0,133.00190099999998,0.0,2797.0
294,0.8,Very Good,H,VS2,63.4,60.0,128.170368,0.0,2797.0
295,0.77,Ideal,I,VS1,61.5,59.0,125.58395400000002,0.0,2798.0
296,0.83,Very Good,E,SI2,58.0,62.0,139.661875,0.0,2799.0
297,0.82,Ideal,F,SI2,62.4,54.0,134.413356,0.0,2799.0
298,0.78,Ideal,D,SI1,61.9,57.0,126.06266400000001,0.0,2799.0
299,0.6,Very Good,G,IF,61.6,56.0,99.32012999999999,0.0,2800.0
300,0.9,Good,I,SI2,62.2,59.0,140.562383,0.0,2800.0
301,0.7,Premium,E,VS1,62.2,58.0,110.93599999999999,0.0,2800.0
302,0.9,Very Good,I,SI2,61.3,56.0,146.06858,0.0,2800.0
303,0.83,Ideal,G,SI1,62.3,57.0,136.936192,0.0,2800.0
304,0.83,Ideal,G,SI1,61.8,57.0,136.891854,0.0,2800.0
305,0.83,Very Good,H,SI1,62.5,59.0,133.96305999999998,0.0,2800.0
306,0.74,Premium,G,VS1,62.9,60.0,117.045488,0.0,2800.0
307,0.79,Ideal,I,VS1,61.8,59.0,129.27208000000002,0.0,2800.0
308,0.61,Ideal,G,IF,62.3,56.0,100.321965,0.0,2800.0
309,0.96,Ideal,F,I1,60.7,55.0,158.426996,0.0,2801.0
310,0.73,Ideal,F,VS2,62.5,55.0,120.60288,0.0,2801.0
311,0.73,Premium,F,VS2,62.7,58.0,117.86688,0.0,2801.0
312,0.75,Ideal,H,SI1,60.4,57.0,126.88065199999998,0.0,2801.0
313,0.71,Premium,F,VS2,62.1,58.0,114.08607,0.0,2801.0
314,0.71,Good,F,VS2,57.8,60.0,117.7522,0.0,2801.0
315,0.71,Good,F,VS2,63.8,58.0,113.589036,0.0,2801.0
316,0.71,Premium,F,VS2,62.8,57.0,114.246096,0.0,2801.0
317,1.04,Premium,G,I1,62.2,58.0,165.6344,0.0,2801.0
318,1.0,Premium,J,SI2,62.3,58.0,162.75414,0.0,2801.0
319,0.87,Very Good,G,SI2,59.9,58.0,143.45696400000003,0.0,2802.0
320,0.53,Ideal,F,IF,61.9,54.0,88.7922,0.0,2802.0
321,0.72,Premium,E,VS2,63.0,55.0,116.610021,0.0,2802.0
322,0.72,Premium,F,VS1,62.4,58.0,119.6316,0.0,2802.0
323,0.7,Very Good,F,VS2,62.9,58.0,112.92372499999999,0.0,2803.0
324,0.74,Very Good,E,SI1,63.5,56.0,121.638636,0.0,2803.0
325,0.71,Ideal,G,VS2,61.3,56.0,115.242075,0.0,2803.0
326,0.73,Ideal,E,SI1,60.6,54.0,122.11147999999999,0.0,2803.0
327,0.7,Good,G,VS1,65.1,58.0,112.82185199999999,0.0,2803.0
328,0.71,Premium,F,VS2,62.6,58.0,115.05564000000001,0.0,2803.0
329,0.71,Premium,F,VS2,58.0,62.0,114.88112999999998,0.0,2803.0
330,0.71,Premium,G,VS1,62.4,61.0,114.00570000000002,0.0,2803.0
331,0.77,Premium,G,VS2,61.3,57.0,126.22360800000001,0.0,2803.0
332,0.71,Premium,G,VS2,59.9,60.0,116.327239,0.0,2803.0
333,0.78,Premium,G,VS2,60.8,58.0,130.59774000000002,0.0,2803.0
334,0.71,Very Good,G,VS1,63.5,55.0,114.601416,0.0,2803.0
335,0.91,Ideal,D,SI2,62.2,57.0,147.03727500000002,0.0,2803.0
336,0.71,Very Good,E,VS2,63.8,58.0,114.51312,0.0,2804.0
337,0.71,Very Good,E,VS2,64.0,57.0,116.700144,0.0,2804.0
338,0.8,Very Good,E,SI2,62.5,56.0,129.66576,0.0,2804.0
339,0.7,Very Good,D,SI1,62.3,58.0,116.06917200000001,0.0,2804.0
340,0.72,Ideal,F,VS1,61.7,57.0,117.57528999999998,0.0,2804.0
341,0.72,Very Good,F,VS1,62.2,58.0,116.679,0.0,2804.0
342,0.82,Ideal,H,VS2,61.5,56.0,135.93177599999999,0.0,2804.0
343,0.7,Ideal,D,SI1,61.0,59.0,112.34472,0.0,2804.0
344,0.72,Ideal,D,SI1,62.2,56.0,118.568884,0.0,2804.0
345,0.72,Ideal,D,SI1,61.5,54.0,119.13895999999998,0.0,2804.0
346,0.74,Premium,F,VS2,61.7,58.0,121.38867,0.0,2805.0
347,0.74,Premium,F,VS2,61.9,56.0,119.80827999999998,0.0,2805.0
348,0.73,Ideal,E,SI2,61.8,58.0,120.01484599999999,0.0,2805.0
349,0.73,Premium,F,VS2,62.5,57.0,117.33449999999999,0.0,2805.0
